title,studio,domestic_gross,foreign_gross,year,total_gross
Guzaarish,UTV,1000000.0,695000.0,2010,1695000.0
Ondine,Magn.,550000.0,1100000.0,2010,1650000.0
Anjaana Anjaani,Eros,855000.0,761000.0,2010,1616000.0
John Rabe,Strand,67500.0,1400000.0,2010,1467500.0
Restrepo,NGE,1300000.0,105000.0,2010,1405000.0
Raavan,Relbig.,709000.0,648000.0,2010,1357000.0
The City of Your Final Destination,Scre.,493000.0,859000.0,2010,1352000.0
It's a Wonderful Afterlife,UTV,0.0,1300000.0,2010,1300000.0
Ajami,Kino,622000.0,669000.0,2010,1291000.0
Army of Crime,Lorb.,37000.0,1200000.0,2010,1237000.0
Lebanon,SPC,368000.0,830000.0,2010,1198000.0
Howl,Osci.,617000.0,566000.0,2010,1183000.0
Videocracy,Kino,23700.0,1200000.0,2010,1223700.0
When You're Strange,Abr.,246000.0,901000.0,2010,1147000.0
The Salvation Poem (Poema de Salvacion),CZ,915000.0,183000.0,2010,1098000.0
Casino Jack,ATO,1000000.0,40700.0,2010,1040700.0
Leaving,IFC,176000.0,893000.0,2010,1069000.0
Khatta Meetha,Eros,542000.0,499000.0,2010,1041000.0
We Are Family,UTV,638000.0,393000.0,2010,1031000.0
Leaves of Grass,First,70100.0,949000.0,2010,1019100.0
North Face,MBox,711000.0,216000.0,2010,927000.0
Creation,NM,341000.0,555000.0,2010,896000.0
No One Knows About Persian Cats,IFC,81800.0,798000.0,2010,879800.0
Carlos,IFC,146000.0,726000.0,2010,872000.0
Hideaway (Le Refuge),Strand,34500.0,837000.0,2010,871500.0
The Disappearance of Alice Creed,Anch.,167000.0,701000.0,2010,868000.0
Break Ke Baad,Relbig.,428000.0,389000.0,2010,817000.0
Veer (2010),Eros,527000.0,277000.0,2010,804000.0
Life During Wartime,IFC,281000.0,487000.0,2010,768000.0
Enter the Void,IFC,336000.0,418000.0,2010,754000.0
The Secret of Kells,GK,677000.0,62700.0,2010,739700.0
The Polar Express (IMAX re-issue 2010),WB,673000.0,0.0,2010,673000.0
No Problem,Eros,285000.0,369000.0,2010,654000.0
All Good Things,Magn.,582000.0,62500.0,2010,644500.0
Jack Goes Boating,Over.,542000.0,77600.0,2010,619600.0
Holy Rollers,FInd.,303000.0,305000.0,2010,608000.0
Chain Letter,NFC,139000.0,447000.0,2010,586000.0
I Spit on Your Grave,Anch.,93100.0,480000.0,2010,573100.0
I'm Still Here,Magn.,409000.0,160000.0,2010,569000.0
Salt of this Sea,Lorb.,11700.0,545000.0,2010,556700.0
Undertow (2010),TFC,109000.0,393000.0,2010,502000.0
Father of My Children,IFC,144000.0,335000.0,2010,479000.0
The Greatest (2010),Pala.,115000.0,359000.0,2010,474000.0
The Extra Man,Magn.,453000.0,4500.0,2010,457500.0
Tiny Furniture,IFC,392000.0,0.0,2010,392000.0
Dogtooth,Kino,110000.0,274000.0,2010,384000.0
Grease (Sing-a-Long re-issue),Par.,366000.0,0.0,2010,366000.0
The Tempest,Mira.,278000.0,68700.0,2010,346700.0
The Good Heart,Magn.,20900.0,323000.0,2010,343900.0
Formosa Betrayed,Scre.,225000.0,101000.0,2010,326000.0
Red Hill,Strand,21100.0,300000.0,2010,321100.0
Welcome to the Rileys,Gold.,159000.0,158000.0,2010,317000.0
"A Woman, A Gun and A Noodle Shop",SPC,191000.0,121000.0,2010,312000.0
The Girl on the Train,Strand,208000.0,97100.0,2010,305100.0
Mesrine: Public Enemy No. 1,MBox,275000.0,28100.0,2010,303100.0
44 Inch Chest,Imag.,39000.0,255000.0,2010,294000.0
Karthik Calling Karthik,Eros,286000.0,7100.0,2010,293100.0
Last Train Home,Zeit.,288000.0,0.0,2010,288000.0
Eyes Wide Open,NAV,26300.0,250000.0,2010,276300.0
Waste Land,Arth.,188000.0,88700.0,2010,276700.0
South of the Border,CLS,199000.0,70800.0,2010,269800.0
Human Centipede,IFC,181000.0,70700.0,2010,251700.0
"Lovely, Still",Mont.,128000.0,106000.0,2010,234000.0
The Girl (Flickan),Olive,2200.0,229000.0,2010,231200.0
Sweetgrass,CGld,207000.0,0.0,2010,207000.0
Bitch Slap,Free,17400.0,182000.0,2010,199400.0
Chance Pe Dance,UTV,169000.0,24300.0,2010,193300.0
Client 9: The Rise and Fall of Eliot Spitzer,Magn.,189000.0,3500.0,2010,192500.0
Casino Jack and the United States of Money,Magn.,177000.0,0.0,2010,177000.0
Perrier's Bounty,IFC,800.0,167000.0,2010,167800.0
Around a Small Mountain,CGld,33200.0,131000.0,2010,164200.0
Spring Fever,Strand,10800.0,150000.0,2010,160800.0
The Eclipse,Magn.,133000.0,26400.0,2010,159400.0
George A. Romero's Survival of the Dead,Magn.,102000.0,41500.0,2010,143500.0
The Romantics,FOAK,107000.0,17300.0,2010,124300.0
Celine: Through the Eyes of the World,SPC,0.0,119000.0,2010,119000.0
Freakonomics,Magn.,101000.0,16400.0,2010,117400.0
Saint John of Las Vegas,IVP,103000.0,9100.0,2010,112100.0
Band Baaja Baaraat,Yash,43800.0,60700.0,2010,104500.0
White Lion,Scre.,0.0,99600.0,2010,99600.0
Kisses,Osci.,81700.0,15300.0,2010,97000.0
Waking Sleeping Beauty,BV,80700.0,4200.0,2010,84900.0
Enemies of the People,ICir,73200.0,6400.0,2010,79600.0
Badmaash Company,Yash,0.0,64400.0,2010,64400.0
Hadewijch,IFC,5000.0,57500.0,2010,62500.0
Alamar,FM,61600.0,0.0,2010,61600.0
As Good as Dead,First,2000.0,53600.0,2010,55600.0
Inhale,IFC,4100.0,51000.0,2010,55100.0
Hatchet 2,Vita.,52600.0,0.0,2010,52600.0
District B13: Ultimatum,Magn.,36100.0,16200.0,2010,52300.0
GasLand,WOW,30800.0,18600.0,2010,49400.0
Boogie Woogie,IFC,2600.0,44900.0,2010,47500.0
Come Undone (2010),FM,10000.0,31300.0,2010,41300.0
The Red Baron,Mont.,37200.0,3100.0,2010,40300.0
Bluebeard,Strand,33500.0,5200.0,2010,38700.0
Daddy Longlegs,IFC,21800.0,11500.0,2010,33300.0
Living in Emergency,Truly,32200.0,0.0,2010,32200.0
Nenette,Kino,18000.0,5400.0,2010,23400.0
Picture Me,Strand,12000.0,10400.0,2010,22400.0
The Thorn in the Heart,Osci.,7400.0,10500.0,2010,17900.0
The Taqwacores,Strand,11400.0,0.0,2010,11400.0
Cherry,Abr.,11400.0,0.0,2010,11400.0
Terkel in Trouble,Indic.,10800.0,0.0,2010,10800.0
Kimjongilia,Lorb.,4400.0,0.0,2010,4400.0
Aashayein (Wishes),Relbig.,0.0,3800.0,2010,3800.0
Harry Potter and the Deathly Hallows Part 2,WB,381000000.0,960500000.0,2011,1341500000.0
Transformers: Dark of the Moon,P/DW,352400000.0,771400000.0,2011,1123800000.0
Pirates of the Caribbean: On Stranger Tides,BV,241100000.0,804600000.0,2011,1045700000.0
The Twilight Saga: Breaking Dawn Part 1,Sum.,281300000.0,430900000.0,2011,712200000.0
Mission: Impossible - Ghost Protocol,Par.,209400000.0,485300000.0,2011,694700000.0
Kung Fu Panda 2,P/DW,165200000.0,500400000.0,2011,665600000.0
Fast Five,Uni.,209800000.0,416300000.0,2011,626100000.0
The Hangover Part II,WB,254500000.0,332300000.0,2011,586800000.0
The Smurfs,SPC,142600000.0,421100000.0,2011,563700000.0
Cars 2,BV,191500000.0,370700000.0,2011,562200000.0
Puss in Boots,P/DW,149300000.0,405700000.0,2011,555000000.0
Sherlock Holmes: A Game of Shadows,WB,186800000.0,358600000.0,2011,545400000.0
Rio,Fox,143600000.0,341000000.0,2011,484600000.0
Rise of the Planet of the Apes,Fox,176800000.0,305000000.0,2011,481800000.0
Thor,Par.,181000000.0,268300000.0,2011,449300000.0
The Adventures of Tintin,Par.,77600000.0,296400000.0,2011,374000000.0
Captain America: The First Avenger,Par.,176700000.0,193900000.0,2011,370600000.0
X-Men: First Class,Fox,146400000.0,207200000.0,2011,353600000.0
Alvin and the Chipmunks: Chipwrecked,Fox,133100000.0,209600000.0,2011,342700000.0
Real Steel,BV,85500000.0,213800000.0,2011,299300000.0
Bridesmaids,Uni.,169100000.0,119300000.0,2011,288400000.0
Super 8,Par.,127000000.0,133100000.0,2011,260100000.0
Rango,Par.,123500000.0,122200000.0,2011,245700000.0
The Girl with the Dragon Tattoo (2011),SPC,102500000.0,130100000.0,2011,232600000.0
The Green Hornet,SPC,98800000.0,129000000.0,2011,227800000.0
Immortals,Rela.,83500000.0,143400000.0,2011,226900000.0
Green Lantern,WB,116600000.0,103300000.0,2011,219900000.0
The Help,BV,169700000.0,46900000.0,2011,216600000.0
Bad Teacher,SPC,100300000.0,115900000.0,2011,216200000.0
Just Go With It,SPC,103000000.0,111900000.0,2011,214900000.0
Battle: Los Angeles,SPC,83600000.0,128300000.0,2011,211900000.0
Horrible Bosses,WB,117500000.0,92100000.0,2011,209600000.0
Paranormal Activity 3,Par.,104000000.0,103000000.0,2011,207000000.0
Gnomeo and Juliet,BV,100000000.0,94000000.0,2011,194000000.0
Mr. Popper's Penguins,Fox,68200000.0,119100000.0,2011,187300000.0
Hugo,Par.,73900000.0,111900000.0,2011,185800000.0
The Lion King (in 3D),BV,94200000.0,91300000.0,2011,185500000.0
Hop,Uni.,108100000.0,75900000.0,2011,184000000.0
War Horse,BV,79900000.0,97700000.0,2011,177600000.0
The Descendants,Fox,82600000.0,94700000.0,2011,177300000.0
Cowboys & Aliens,Uni.,100200000.0,74600000.0,2011,174800000.0
In Time,Fox,37500000.0,136400000.0,2011,173900000.0
Zookeeper,SPC,80400000.0,89500000.0,2011,169900000.0
The Muppets,BV,88600000.0,76600000.0,2011,165200000.0
Limitless,Rela.,79200000.0,82600000.0,2011,161800000.0
Johnny English Reborn,Uni.,8300000.0,151800000.0,2011,160100000.0
Final Destination 5,WB,42600000.0,115300000.0,2011,157900000.0
Tower Heist,Uni.,78000000.0,74900000.0,2011,152900000.0
Midnight in Paris,SPC,56800000.0,94300000.0,2011,151100000.0
