,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,roi
2620,66,2013-07-19,The Act of Killing,1000000,486919,1227316,tt2375605,The Act of Killing,The Act of Killing,2012,117.0,"['Crime', 'Documentary']",8.2,31115,1.227316
2621,70,2014-07-18,I Origins,1000000,336472,852399,tt2884206,I Origins,I Origins,2014,106.0,"['Drama', 'Romance', 'Sci-Fi']",7.4,104718,0.852399
2622,71,2014-11-28,Antarctica: A Year on Ice,1000000,288757,288757,tt2361700,Antarctica: A Year on Ice,Antarctica: A Year on Ice,2013,91.0,"['Adventure', 'Biography', 'Documentary']",7.6,3004,0.288757
2623,74,2016-04-08,The Invitation,1000000,231738,354836,tt2400463,The Invitation,The Invitation,2015,100.0,"['Drama', 'Horror', 'Mystery']",6.7,70213,0.354836
2624,81,2012-06-01,Hardflip,1000000,96734,96734,tt1907639,Hardflip,Hardflip,2012,112.0,"['Action', 'Drama']",5.6,673,0.096734
2625,82,2016-03-11,Creative Control,1000000,63014,63014,tt3277624,Creative Control,Creative Control,2015,97.0,"['Drama', 'Sci-Fi']",5.4,1951,0.063014
2626,84,2011-07-01,The Perfect Host,1000000,48764,51587,tt1334553,The Perfect Host,The Perfect Host,2010,93.0,"['Comedy', 'Crime', 'Thriller']",6.8,23378,0.051587
2627,84,2011-07-01,The Perfect Host,1000000,48764,51587,tt6026954,The Perfect Host,The Perfect Host,2016,,['Fantasy'],7.2,5,0.051587
2628,88,2015-02-13,Hits,1000000,15156,15156,tt3145220,Hits,Hits,2014,96.0,"['Comedy', 'Drama']",5.8,1706,0.015156
2629,89,2000-09-22,The Specials,1000000,12996,12996,tt8655470,The Specials,Hors normes,2019,,['Comedy'],7.2,13,0.012996
2630,92,2014-10-17,Camp X-Ray,1000000,9837,101053,tt2994190,Camp X-Ray,Camp X-Ray,2014,117.0,"['Drama', 'War']",6.9,36700,0.101053
2631,94,2015-04-10,The Sisterhood of Night,1000000,6870,6870,tt1015471,The Sisterhood of Night,The Sisterhood of Night,2014,104.0,"['Drama', 'Mystery', 'Thriller']",6.2,1888,0.00687
2632,100,2013-12-31,Heli,1000000,0,552614,tt2852376,Heli,Heli,2013,105.0,"['Crime', 'Drama', 'Romance']",6.8,4379,0.552614
2633,1,2015-12-31,Karachi se Lahore,1000000,0,17721,tt4590482,Karachi se Lahore,Karachi se Lahore,2015,143.0,"['Adventure', 'Comedy', 'Family']",6.6,1198,0.017721
2634,3,2015-12-11,American Hero,1000000,0,26,tt4733536,American Hero,American Hero,2015,86.0,"['Action', 'Comedy', 'Drama']",4.9,3661,2.6e-05
2635,6,2003-10-24,The Party's Over,1000000,0,0,tt6173020,The Party's Over,La fête est finie,2017,93.0,['Drama'],6.3,123,0.0
2636,11,2012-03-20,Snow White: A Deadly Summer,1000000,0,0,tt2149137,Snow White: A Deadly Summer,Snow White: A Deadly Summer,2012,83.0,['Horror'],2.2,679,0.0
2637,12,2012-10-09,Truth or Die,1000000,0,0,tt1838722,Truth or Die,Truth or Dare,2012,96.0,"['Horror', 'Mystery']",5.6,8123,0.0
2638,13,2013-05-14,Black Rock,1000000,0,0,tt1930294,Black Rock,Black Rock,2012,83.0,"['Horror', 'Thriller']",4.8,7596,0.0
2639,14,2014-01-07,Hidden Away,1000000,0,0,tt3289362,Hidden Away,A escondidas,2014,96.0,"['Drama', 'Romance']",7.1,1820,0.0
2640,15,2013-10-04,My Last Day Without You,1000000,0,0,tt1679248,My Last Day Without You,My Last Day Without You,2011,90.0,"['Comedy', 'Drama', 'Romance']",5.7,1178,0.0
2641,16,2013-10-08,Zombie Hunter,1000000,0,0,tt2446502,Zombie Hunter,Zombie Hunter,2013,93.0,"['Action', 'Comedy', 'Horror']",3.5,2372,0.0
2642,17,2014-12-31,Doc Holliday's Revenge,1000000,0,0,tt3359872,Doc Holliday's Revenge,Stranded,2014,84.0,['Western'],3.8,104,0.0
2643,18,2014-06-24,A Fine Step,1000000,0,0,tt1604100,A Fine Step,A Fine Step,2014,111.0,['Drama'],5.4,279,0.0
2644,19,2015-02-10,Fear Clinic,1000000,0,0,tt2165765,Fear Clinic,Fear Clinic,2014,95.0,['Horror'],5.0,6256,0.0
